id,url,entry_url,company,Market_Cap,EPS,PtoE,Book_value,PtoB
80,https://www.moneycontrol.com/company-facts/canfinhomes/management/CFH,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,canfinhomes,"8,311",0.00,--,--,0.00
81,https://www.moneycontrol.com/company-facts/canarabank/management/CB06,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06,canarabank,"46,941",28.45,9.09,316.51,0.82
82,https://www.moneycontrol.com/company-facts/caplinpointlaboratories/management/CPL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,caplinpointlaboratories,"6,049",36.51,21.87,156.87,5.09
83,https://www.moneycontrol.com/company-facts/capriglobalcapital/management/MMF05,https://www.moneycontrol.com/india/stockpricequote/financegeneral/capriglobalcapital/MMF05,capriglobalcapital,"9,990",9.95,57.18,97.35,5.85
84,https://www.moneycontrol.com/company-facts/carborundumuniversal/management/CU,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,carborundumuniversal,"16,695",18.60,47.29,114.30,7.70
85,https://www.moneycontrol.com/company-facts/castrolindia/management/CI01,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,castrolindia,"12,270",0.00,--,--,0.00
86,https://www.moneycontrol.com/company-facts/cclproductsindia/management/CC10,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,cclproductsindia,"6,269",15.10,31.21,81.73,5.77
87,https://www.moneycontrol.com/company-facts/ceat/management/C07,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,ceat,"4,405",49.13,22.17,825.59,1.32
88,https://www.moneycontrol.com/company-facts/centralbankindia/management/CBO01,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01,centralbankindia,"18,577",-0.95,--,30.59,0.70
89,https://www.moneycontrol.com/company-facts/centurytextilesindustries/management/CTI,https://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,centurytextilesindustries,"9,748",6.45,135.30,326.55,2.68
90,https://www.moneycontrol.com/company-facts/centuryplyboards/management/CP9,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,centuryplyboards,"13,373",14.00,42.99,56.99,10.57
91,https://www.moneycontrol.com/company-facts/cerasanitaryware/management/CS18,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18,cerasanitaryware,"6,077",110.93,42.12,679.28,6.88
92,https://www.moneycontrol.com/company-facts/cesc/management/CES,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,cesc,"11,181",10.24,8.24,77.46,1.09
93,https://www.moneycontrol.com/company-facts/cromptongreavesconsumerelectrical/management/CGC01,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,cromptongreavesconsumerelectrical,"26,054",10.41,39.85,30.75,13.49
94,https://www.moneycontrol.com/company-facts/chalethotels/management/CH03,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,chalethotels,"5,109",-4.69,--,69.05,3.61
95,https://www.moneycontrol.com/company-facts/chambalfertiliserschemicals/management/CFC,https://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,chambalfertiliserschemicals,"17,545",43.40,9.71,125.73,3.36
96,https://www.moneycontrol.com/company-facts/cholamandalamfinancialholdings/management/TII,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,cholamandalamfinancialholdings,"13,131",40.81,17.14,605.04,1.16
97,https://www.moneycontrol.com/company-facts/cholamandalaminvestmentfinancecompany/management/CDB,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,cholamandalaminvestmentfinancecompany,"53,688",19.42,33.67,116.93,5.60
98,https://www.moneycontrol.com/company-facts/cipla/management/C,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,cipla,"76,357",31.83,29.73,229.84,4.12
99,https://www.moneycontrol.com/company-facts/cityunionbank/management/CUB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB,cityunionbank,"10,717",0.00,--,--,0.00
100,https://www.moneycontrol.com/company-facts/coalindia/management/CI11,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,coalindia,"100,483",22.36,7.29,59.97,2.72
101,https://www.moneycontrol.com/company-facts/cochinshipyard/management/CS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cochinshipyard/CS,cochinshipyard,"4,532",47.13,7.31,306.63,1.13
102,https://www.moneycontrol.com/company-facts/coforgelimited/management/NII02,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/coforgelimited/NII02,coforgelimited,"29,178",96.38,49.71,396.38,12.09
103,https://www.moneycontrol.com/company-facts/colgatepalmoliveindia/management/CPI,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI,colgatepalmoliveindia,"38,899",0.00,--,--,0.00
